                                                                                                                           
Epoch 1/100 | Train Loss: 3.2313 Acc: 31.27% | Val Loss: 2.0265 Acc: 55.25% | Params: 11.23M
Epoch 2/100 | Train Loss: 1.6051 Acc: 62.58% | Val Loss: 1.3025 Acc: 67.46% | Params: 11.23M
Epoch 3/100 | Train Loss: 1.1457 Acc: 70.98% | Val Loss: 1.0478 Acc: 72.63% | Params: 11.23M
Epoch 4/100 | Train Loss: 0.9304 Acc: 75.29% | Val Loss: 0.9164 Acc: 74.90% | Params: 11.23M
Epoch 5/100 | Train Loss: 0.7976 Acc: 78.28% | Val Loss: 0.8398 Acc: 76.54% | Params: 11.23M
Epoch 6/100 | Train Loss: 0.7018 Acc: 80.81% | Val Loss: 0.7880 Acc: 77.32% | Params: 11.23M
Epoch 7/100 | Train Loss: 0.6261 Acc: 82.71% | Val Loss: 0.7539 Acc: 78.39% | Params: 11.23M
Epoch 8/100 | Train Loss: 0.5631 Acc: 84.62% | Val Loss: 0.7270 Acc: 78.86% | Params: 11.23M
Epoch 9/100 | Train Loss: 0.5083 Acc: 86.16% | Val Loss: 0.7068 Acc: 79.13% | Params: 11.23M
Epoch 10/100 | Train Loss: 0.4619 Acc: 87.54% | Val Loss: 0.6871 Acc: 79.77% | Params: 11.23M
Epoch 11/100 | Train Loss: 0.4170 Acc: 88.85% | Val Loss: 0.6771 Acc: 79.93% | Params: 11.23M
Epoch 12/100 | Train Loss: 0.3778 Acc: 90.05% | Val Loss: 0.6648 Acc: 80.22% | Params: 11.23M
Epoch 13/100 | Train Loss: 0.3428 Acc: 91.28% | Val Loss: 0.6605 Acc: 80.28% | Params: 11.23M
Epoch 14/100 | Train Loss: 0.3108 Acc: 92.26% | Val Loss: 0.6529 Acc: 80.35% | Params: 11.23M
Epoch 15/100 | Train Loss: 0.2810 Acc: 93.21% | Val Loss: 0.6497 Acc: 80.58% | Params: 11.23M
Epoch 16/100 | Train Loss: 0.2546 Acc: 94.10% | Val Loss: 0.6522 Acc: 80.26% | Params: 11.23M
Epoch 17/100 | Train Loss: 0.2288 Acc: 94.87% | Val Loss: 0.6511 Acc: 80.45% | Params: 11.23M
Epoch 18/100 | Train Loss: 0.2081 Acc: 95.66% | Val Loss: 0.6532 Acc: 80.75% | Params: 11.23M
Epoch 19/100 | Train Loss: 0.1858 Acc: 96.35% | Val Loss: 0.6575 Acc: 80.57% | Params: 11.23M
Epoch 20/100 | Train Loss: 0.1708 Acc: 96.80% | Val Loss: 0.6535 Acc: 80.64% | Params: 11.23M
Epoch 21/100 | Train Loss: 0.1512 Acc: 97.33% | Val Loss: 0.6566 Acc: 80.78% | Params: 11.23M
Epoch 22/100 | Train Loss: 0.1369 Acc: 97.84% | Val Loss: 0.6594 Acc: 80.69% | Params: 11.23M
Epoch 23/100 | Train Loss: 0.1237 Acc: 98.18% | Val Loss: 0.6626 Acc: 80.73% | Params: 11.23M
Epoch 24/100 | Train Loss: 0.1119 Acc: 98.50% | Val Loss: 0.6674 Acc: 80.65% | Params: 11.23M
Epoch 25/100 | Train Loss: 0.1014 Acc: 98.79% | Val Loss: 0.6673 Acc: 80.81% | Params: 11.23M
Epoch 26/100 | Train Loss: 0.0926 Acc: 99.03% | Val Loss: 0.6754 Acc: 80.99% | Params: 11.23M
Epoch 27/100 | Train Loss: 0.0850 Acc: 99.18% | Val Loss: 0.6744 Acc: 81.19% | Params: 11.23M
Epoch 28/100 | Train Loss: 0.0762 Acc: 99.40% | Val Loss: 0.6791 Acc: 80.84% | Params: 11.23M
Epoch 29/100 | Train Loss: 0.0699 Acc: 99.49% | Val Loss: 0.6809 Acc: 80.90% | Params: 11.23M
Epoch 30/100 | Train Loss: 0.0642 Acc: 99.60% | Val Loss: 0.6865 Acc: 80.74% | Params: 11.23M
Epoch 31/100 | Train Loss: 0.0598 Acc: 99.65% | Val Loss: 0.6864 Acc: 80.97% | Params: 11.23M
Epoch 32/100 | Train Loss: 0.0551 Acc: 99.72% | Val Loss: 0.6891 Acc: 81.02% | Params: 11.23M
Epoch 33/100 | Train Loss: 0.0512 Acc: 99.75% | Val Loss: 0.6941 Acc: 80.96% | Params: 11.23M
Epoch 34/100 | Train Loss: 0.0476 Acc: 99.81% | Val Loss: 0.6947 Acc: 81.07% | Params: 11.23M
Epoch 35/100 | Train Loss: 0.0447 Acc: 99.86% | Val Loss: 0.6974 Acc: 81.12% | Params: 11.23M
Epoch 36/100 | Train Loss: 0.0423 Acc: 99.85% | Val Loss: 0.7013 Acc: 81.07% | Params: 11.23M
Epoch 37/100 | Train Loss: 0.0397 Acc: 99.88% | Val Loss: 0.7021 Acc: 81.11% | Params: 11.23M
Early stopping triggered after 37 epochs.
